id,source,target,relation,source_text
E183,E467,P123,AT_LOCATION,迎藤原河清使判官内藏忌寸全成。自渤海却廻。海中遭風。漂着對馬。
E184,P047,P123,TRAVEL,迎藤原河清使判官内藏忌寸全成。自渤海却廻。海中遭風。漂着對馬。
E185,E478,P024,HAS_SUBJECT,遣唐大使佐伯宿祢今毛人自大宰還而進節刀。
E186,E478,P219,HAS_OBJECT,遣唐大使佐伯宿祢今毛人自大宰還而進節刀。
E187,E478,L193,AT_LOCATION,遣唐大使佐伯宿祢今毛人自大宰還而進節刀。
E188,P024,P219,PARTICIPATE,遣唐大使佐伯宿祢今毛人自大宰還而進節刀。
E189,P024,L193,PARTICIPATE,遣唐大使佐伯宿祢今毛人自大宰還而進節刀。
E190,E489,P133,HAS_SUBJECT,以從五位下布勢朝臣清直爲送唐客使。正六位上甘南備眞人清野。從六位下多治比眞人濱成爲判官。
E191,E489,P077,HAS_OBJECT,以從五位下布勢朝臣清直爲送唐客使。正六位上甘南備眞人清野。從六位下多治比眞人濱成爲判官。
E192,E489,L193,AT_LOCATION,以從五位下布勢朝臣清直爲送唐客使。正六位上甘南備眞人清野。從六位下多治比眞人濱成爲判官。
E193,P133,P077,PARTICIPATE,以從五位下布勢朝臣清直爲送唐客使。正六位上甘南備眞人清野。從六位下多治比眞人濱成爲判官。
E194,P133,L193,PARTICIPATE,以從五位下布勢朝臣清直爲送唐客使。正六位上甘南備眞人清野。從六位下多治比眞人濱成爲判官。
E195,E500,P272,HAS_SUBJECT,爲令遣唐使等平安也。
E196,E500,L042,HAS_OBJECT,爲令遣唐使等平安也。
E197,E500,L193,AT_LOCATION,爲令遣唐使等平安也。
E198,P272,L042,TRAVEL,爲令遣唐使等平安也。
E199,P272,L193,TRAVEL,爲令遣唐使等平安也。
E200,E511,G047,HAS_SUBJECT,第一船擧帆指奄美嶋發去。未知其着處。
E201,E511,P109,HAS_OBJECT,第一船擧帆指奄美嶋發去。未知其着處。
E202,E511,L247,AT_LOCATION,第一船擧帆指奄美嶋發去。未知其着處。
